id,title
1,Man of La Mancha
2,Top Gun
3,Oosaravelli
4,Jade Warrior
5,To Hell and Back
6,Phool Aur Kaante
7,Ayan
8,Shut Up and Kiss Me!
9,Gunslinger
10,In Old California
11,Albuquerque
12,The Redhead from Wyoming
13,Mechenosets
14,The Sea Bat
15,Gupt: The Hidden Truth
16,Billa
17,Baaghi
18,Fit to Kill
19,The Girl from the Naked Eye
20,Butterfly Kiss
21,Hindsight
22,Jaane Hoga Kya
23,Air Hawks
24,Maattrraan
25,Princess
26,Captain from Castile
27,Aasai
28,The Trail of the Lonesome Pine
29,Barbary Coast
30,"Up, Up, and Away"
31,Princess of Thieves
32,Challenge to Lassie
33,Island of Lost Souls
34,White Wolves - A Cry in the Wild II
35,Biggles
36,Jack the Giant Slayer
37,Bionicle 2: Legends of Metru Nui
38,Magic Kid
39,Ko
40,Alien from L.A.
41,Speed Racer
42,Pocket Ninjas
43,Long John Silver
44,Vedhalam
45,Catch That Girl
46,Forest Warrior
47,Lazybones
48,The Surrender of Tournavos
49,Seal Team Eight: Behind Enemy Lines
50,Pork Chop Hill
51,Guadalcanal Diary
52,One of Our Aircraft Is Missing
53,Back Door to Hell
54,The Dawn Patrol
55,Rommel
56,Beyond Valkyrie: Dawn of the Fourth Reich
57,Ambush at Cimarron Pass
58,Alvarez Kelly
59,Nine Lives
60,Soldier
61,Attack on the Iron Coast
62,Commando Leopard
63,The Commander
64,The Fighting Seabees
65,Braddock: Missing in Action III
66,Allies
67,USS Indianapolis: Men of Courage
68,The Dirty Dozen: Next Mission
69,Sniper: Special Ops
70,Beach Red
71,The McKenzie Break
72,The Lost Patrol
73,300: Rise of an Empire
74,Submarine X-1
75,Operation: Daybreak
76,Fortress
77,Strike Commando
78,Master of the Flying Guillotine
79,Ninja 4: Siege
80,Fists of Legend
81,Sky High
82,Godzilla Against MechaGodzilla
83,The Boxer's Omen
84,Border
85,Sabata
86,Dynamite Warrior
87,Drona
88,Kaal
89,Pokiri
90,Typhoon
91,Sehar
92,China Strike Force
93,Athadu
94,Eye in the Sky
95,The Killer Meteors
96,Main Khiladi Tu Anari
97,Total Western
98,The Invincible Armour
99,Stray Cat Rock: Sex Hunter
100,Legacy of Rage
